Power (J=31) X,Power (J=31) YRe,Power (J=31) YReImag,Power (J=63) X,Power (J=63) YRe,Power (J=63) YReImag,Power (J=127) X,Power (J=127) YRe,Power (J=127) YReImag,Power (J=255) X,Power (J=255) YRe,Power (J=255) YReImag,Power (J=383) X,Power (J=383) YRe,Power (J=383) YReImag,Power (J=511) X,Power (J=511) YRe,Power (J=511) YReImag,Power (J=639) X,Power (J=639) YRe,Power (J=639) YReImag,Power (J=767) X,Power (J=767) YRe,Power (J=767) YReImag,Power (J=895) X,Power (J=895) YRe,Power (J=895) YReImag,Power (J=989) X,Power (J=989) YRe,Power (J=989) YReImag
4272460.937499999,0.000146463568257843,0.0002330469352741448,4272460.937499999,3.955605175244137e-05,-7.128006921761624e-05,4272460.937499999,0.0002171147659593802,5.319999564599774e-05,4272460.937499999,0.0004943445392490784,0.0001296909594298205,4272460.937499999,0.0006397856193931879,-9.905534072246694e-06,4272460.937499999,0.000713689944402577,0.0001383798299985022,4272460.937499999,0.0006644274969011983,6.10830472588559e-05,4272460.937499999,0.0005152153098483411,-1.181417714163314e-05,4272460.937499999,0.000269561457519097,-0.0001279082558460188,4272460.937499999,6.936396594466737e-05,-5.914800143830279e-05
4394531.249999999,0.0001242279475136534,0.0001039835195968947,4394531.249999999,9.176676364462551e-05,2.271665238399121e-05,4394531.249999999,0.0002308800803963131,1.220461325993911e-05,4394531.249999999,0.0004887127428091958,1.473800852263987e-06,4394531.249999999,0.0006459151492858068,6.232757093670447e-07,4394531.249999999,0.0007130575351997662,-2.540750639688438e-06,4394531.249999999,0.0006646796390989823,-1.45601462469314e-06,4394531.249999999,0.0005135585993212301,-4.105690255112125e-07,4394531.249999999,0.0002864230406198323,-5.871385887229033e-07,4394531.249999999,9.573999204287883e-05,-1.238912917696548e-06
4516601.562499999,0.0001421501260638114,0.0001826264065353884,4516601.562499999,4.018597410566162e-05,-1.937489427000181e-05,4516601.562499999,0.000205488445120306,-0.00019893340190924,4516601.562499999,0.0005055566245036275,0.0002182913445667067,4516601.562499999,0.0006149970375328501,-7.8377189424824e-05,4516601.562499999,0.0006854082247070714,-9.043625804572075e-05,4516601.562499999,0.0006577741759361337,-1.177844954445457e-05,4516601.562499999,0.0005130523881506531,-1.036139370287146e-05,4516601.562499999,0.0003018114899320681,0.000153717518341845,4516601.562499999,8.158040198479567e-05,4.991301892512314e-05
4638671.874999999,0.0001403178652636442,8.04662734556808e-05,4638671.874999999,4.615815301834179e-05,3.255161921412692e-05,4638671.874999999,0.0002263892500020581,-4.25977183367782e-06,4638671.874999999,0.0004802205164026488,3.662725292158949e-06,4638671.874999999,0.000638342543132136,9.849871562997553e-07,4638671.874999999,0.0006960879798175195,1.86351824976569e-06,4638671.874999999,0.0006590217304517382,-5.08096289551935e-07,4638671.874999999,0.0005054743438577972,8.516999796268161e-07,4638671.874999999,0.0002735170440248255,8.266895369756441e-07,4638671.874999999,7.33065987166861e-05,5.623272707790659e-07
4760742.187499999,9.525871562757701e-05,-7.325549204041139e-05,4760742.187499999,6.798542283806502e-05,6.192829486053225e-05,4760742.187499999,0.0002188304166201386,-2.728521598714353e-05,4760742.187499999,0.0004846466367956436,1.93679837196775e-05,4760742.187499999,0.0006082262991567855,-0.0002305390385555003,4760742.187499999,0.0006936042488185816,-1.914073480115492e-05,4760742.187499999,0.0006495288930580238,-6.989613122734099e-05,4760742.187499999,0.0005456838054084561,0.0002521506430031431,4760742.187499999,0.0003048104455063789,0.0001651481640237298,4760742.187499999,7.932989901208532e-05,1.846338581883492e-05
4882812.499999999,0.0001308380982523417,5.936513133802227e-05,4882812.499999999,6.300654770947646e-05,3.166150355010277e-05,4882812.499999999,0.0002406980332554216,3.497707715946619e-06,4882812.499999999,0.0004703345579936669,-2.079977642996548e-06,4882812.499999999,0.000647415608873134,2.144011672247716e-06,4882812.499999999,0.0006994358817200565,4.715948353423318e-06,4882812.499999999,0.0006676203004354705,-1.602210138486879e-06,4882812.499999999,0.0005079677546139408,1.920767194563767e-06,4882812.499999999,0.0002861885679342052,4.775969470520751e-07,4882812.499999999,8.424696475138659e-05,-8.619256055482122e-07
5004882.812499999,0.0001286950779566656,-3.109581192395768e-05,5004882.812499999,6.860103593261551e-05,0.000117864299993425,5004882.812499999,0.0002246903592429285,-3.990061280086381e-05,5004882.812499999,0.0004975294904861665,0.0001010947040881523,5004882.812499999,0.0006572287313632721,0.0001684053726710596,5004882.812499999,0.0006784157203273417,-0.0001796130681100788,5004882.812499999,0.0006681022124799998,6.477132823032268e-05,5004882.812499999,0.0005183138639767502,3.464850895924759e-05,5004882.812499999,0.0002819749220639996,-6.004925130181689e-05,5004882.812499999,7.029519557215082e-05,-6.196780874173977e-05
5126953.124999999,0.0001324435503490168,6.239456594722627e-05,5126953.124999999,2.975127211170071e-05,4.81192546845048e-05,5126953.124999999,0.0002310398563693164,1.27757800144071e-05,5126953.124999999,0.0004740969227350296,4.992246550847478e-06,5126953.124999999,0.0006374620835291247,4.517983948721202e-06,5126953.124999999,0.000699136808319615,2.780211603460971e-06,5126953.124999999,0.0006595150945056337,-1.426989477161596e-07,5126953.124999999,0.0005062085892832364,1.842986988792234e-07,5126953.124999999,0.0002748524390879299,1.572699727650404e-06,5126953.124999999,7.502950525499518e-05,-2.990236009677428e-07
5249023.437499999,0.0001125855665012773,9.847802485338328e-05,5249023.437499999,9.389285030798109e-05,0.000343179619626162,5249023.437499999,0.0002208147552964902,3.279460484007138e-05,5249023.437499999,0.0004708939226698849,-7.338875955510951e-05,5249023.437499999,0.0006339027648063172,-2.987304859130766e-05,5249023.437499999,0.0007198125385266949,0.0001240689107387854,5249023.437499999,0.0006486139943266475,-8.381409328332279e-05,5249023.437499999,0.0005011060101731045,-9.5962751633083e-05,5249023.437499999,0.0002745521237794253,-4.956015411117515e-05,5249023.437499999,7.723604649762308e-05,-7.357856521821984e-05
5371093.749999999,0.0001308290026504907,3.053035442429932e-05,5371093.749999999,6.323718718601675e-05,4.636220234700717e-05,5371093.749999999,0.0002272914943773974,1.116135725173307e-05,5371093.749999999,0.0004878748757841125,1.224675985516569e-06,5371093.749999999,0.0006484225239210116,1.758869138003547e-06,5371093.749999999,0.0007105102327337991,-9.818053676248064e-07,5371093.749999999,0.000669471760166731,6.334525687788068e-07,5371093.749999999,0.0005140901269779817,5.543745437398246e-09,5371093.749999999,0.000285410832235925,1.201693123353742e-06,5371093.749999999,8.623597915033914e-05,-8.55413093515142e-07
